"Title","Artist","ConstituentID","Date","Medium","Classification","Dim_cm2","Style"
"The Arton Trial (Procès Arton)","Henri de Toulouse-Lautrec","5910",1896,"Series of three lithographs","Print",2852,"Impresionismo"
"The Arton Trial, Ribot at the Assize Court (Procès Arton, Ribot à la Cour d'Assises), second plate","Henri de Toulouse-Lautrec","5910",1896,"Lithograph","Print",2875,"Impresionismo"
"The Arton Trial (Procès Arton), third plate","Henri de Toulouse-Lautrec","5910",1896,"Lithograph","Print",2853.34,"Impresionismo"
"Down and Out","Jacques Villon","6165",1890,"Etching","Print",2515.73,"Impresionismo"
"Rocky Landscape (Paysage Rocheux)","Rodolphe Bresdin","767",1880,"Etching","Print",726.57,"Impresionismo"
"Trumpeter (Trompeter)","Lyonel Feininger","1832",1918,"Woodcut","Print",678.5,"Cubismo"
"I Need Yellow","Helen Frankenthaler","1974",1973,"Lithograph","Print",3111.22,"Pop Art"
"Untitled, plate 5 of 8, from the puritan","Louise Bourgeois","710",1990,"Engraving","Print",3250,"Postmodernismo"
"Baby Bellini","Robert Rauschenberg","4823",1993,"Photogravure with hand editions","Print",4292.19,"Postmodernismo"
"THE PEOPLE CAN AND MUST END THE RISE OF THE COST OF LIVING","Alfredo Zalce","6537",1943,"Linoleum (or composition board) cut, printed in color","Print",904.5,"Expresionismo Abstracto"
"Orange Market","Maurice Prendergast","4727",1900,"Monotype with pencil additions","Print",1117.2,"Impresionismo"
"Portraits of Actors and Actresses: Thirteen Lithographs (Portraits d'Acteurs & Actrices: Treize Lithographies)","Henri de Toulouse-Lautrec","5910",1898,"Portfolio of thirteen lithographs with lithographed cover","Print",1234.8,"Impresionismo"
"The Violinist (Le Violoniste supervielle)","Jacques Villon","6165",1899,"Aquatint","Print",2816.1,"Impresionismo"
"Quai Henri IV","Walter Richard Sickert","5414",1915,"Etching","Print",976.8,"Cubismo"
"Tigre dans les jungles ( Tiger in the Jungle ) from L'Estampe originale ( The Original Print ), no. I","Paul Ranson","4814",1893,"Lithograph from a portfolio of eight lithographs and three woodcuts","Print",2427.75,"Impresionismo"
"The Stream","Rodolphe Bresdin","767",1880,"Etching and roulette","Print",750.46,"Impresionismo"
"Maskelyne DA Region of the Moon from the series Lunar Maps","Nancy Graves","2310",1972,"Lithograph","Print",4322.47,"Pop Art"
"Rue l'Épic","Antonio Segui","5319",1978,"Etching","Print",1437.8,"Pop Art"
"MEDEA, ACT V from the portfolio MEDEA","Robert Wilson","6390",1984,"Lithograph, printed in black","Print",6415.68,"Postmodernismo"
"Color Message B","Carroll Dunham","1652",1985,"Lithograph","Print",745.8,"Postmodernismo"
"Girl Sitting","Lucian Freud","1993",1987,"Etching","Print",4741.36,"Postmodernismo"
"Untitled, plate 3 of 8, from the puritan","Louise Bourgeois","710",1990,"Engraving, with retroussage","Print",3250,"Postmodernismo"
"Saint Anthony . . . Beneath Her Long Hair Which Covered Her Face, I Thought I Recognized Ammonaria (Sainte-Antoine . . . A travers ses longs cheveux qui lui couvrait la figure, j'ai cru reconnaître Ammonaria)","Odilon Redon","4840",1888,"Lithograph with chine appliqué","Print",1927.8,"Impresionismo"
"Woman in Bed, Profile, Awakening (Femme au lit, profil, Au petit lever) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2039.67,"Impresionismo"
"Woman in Corset (Femme en corset) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2001.52,"Impresionismo"
"Reclining Woman, Lassitude (Femme sur le dos, Lassitude) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2034.25,"Impresionismo"
"Frontispiece from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portofolio of twelve lithographs","Print",2081.19,"Impresionismo"
"Mademoiselle Cha-u-kao, The Seated Clowness (Mademoiselle Cha-u-kao, La Clownesse assise) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2130.6,"Impresionismo"
"Woman with Tray, Breakfast (Femme au plateau, Petit déjeuner) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",1989,"Impresionismo"
"Woman Waking Up in Bed (Femme Couchée, Réveil) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2064,"Impresionismo"
"Woman at the Tub (Femme au tub) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2025.16,"Impresionismo"
"Woman at her Toilette, Washing Herself (Femme qui se lave, La toilette) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2033.04,"Impresionismo"
"Woman with Hand Mirror (Femme à glace, la glace à main) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",2057.66,"Impresionismo"
"Woman Combing Her Hair (Femme qui se peigne, La coiffure) from Elles","Henri de Toulouse-Lautrec","5910",1896,"One from a portfolio of twelve lithographs","Print",1998.15,"Impresionismo"
"Caliban","Jacques Villon","6165",1941,"Drypoint","Print",1041.52,"Expresionismo Abstracto"
"Self-Portrait with Stylus (Selbstbildnis mit Griffel) from Faces (Gesichter)","Max Beckmann","429",1916,"One from a portfolio of nineteen drypoints","Print",1662.08,"Cubismo"
"Sally, third state","Walter Richard Sickert","5414",1915,"Etching","Print",567,"Cubismo"
"33 RUE DELAMBRE","Alexander Dobkin","1564",1952,"Lithograph, printed in color","Print",1500.72,"Expresionismo Abstracto"
"The Creek","Rodolphe Bresdin","767",1880,"Etching","Print",493.83,"Impresionismo"
"Jeau d'eau","Stanley William Hayter","2558",1953,"Engraving and soft-ground etching","Print",2895.2,"Expresionismo Abstracto"
"Baltic Steamer (Ostsee Dampfer)","Lyonel Feininger","1832",1918,"Woodcut","Print",3448.12,"Cubismo"
"The Chariot III","Georges Braque","744",1955,"Lithograph with embossing","Print",3180.1,"Expresionismo Abstracto"
"L 12","Hans Hartung","2525",1957,"Lithograph","Print",3326.4,"Expresionismo Abstracto"
"Color Message C","Carroll Dunham","1652",1985,"Lithograph","Print",742.5,"Postmodernismo"
"Canto I from the series Canto Inferno","Gerard Garouste","2087",1987,"Drypoint","Print",1047.1,"Postmodernismo"
"Untitled, plate 2 of 8, from the puritan","Louise Bourgeois","710",1990,"Engraving","Print",3250,"Postmodernismo"
"DEAD ROOSTER #4 (RED VERSION)","Susan Rothenberg","5044",1993,"Woodcut","Print",5286.6,"Postmodernismo"
"Woman as Fountain: Courtyard Sculpture Project","Ilya Kabakov","6633",1998,"Etching","Print",3855.3,"Postmodernismo"
"Sleep (Le Sommeil)","Odilon Redon","4840",1898,"Lithograph","Print",773.64,"Impresionismo"
"The USSR is defending the Freedom of the World. Let's Help! (La URSS defende las libertades del mundo. Ayudemosla!)","Alfredo Zalce","6537",1941,"Lithograph","Print",2646,"Expresionismo Abstracto"
"The Philosopher (Le Philosophe)","Jacques Villon","6165",1930,"Etching","Print",810.73,"Surrealismo"
"Two Men","Fernand Léger","6624",1920,"Lithograph","Print",1271,"Surrealismo"
"The Organ (L'Orgue)","Paul Signac","5421",1893,"Lithograph with watercolor additions, and musical score","Print",1016.4,"Impresionismo"
"My Dream","Rodolphe Bresdin","767",1883,"Etching","Print",977.26,"Impresionismo"
"Cathedral (Kathedrale) [small trial block]","Lyonel Feininger","1832",1919,"Woodcut","Print",672.6,"Cubismo"
"Rainbow Over U.S.A.","Robert Broner","794",1970,"Intaglio from found elements","Print",3902.29,"Pop Art"
"Historical Perspective","Angela Jansen","2885",1972,"Photoengraving, etching and aquatint","Print",4318.71,"Pop Art"
"Untitled from series Malevich Merger Series","Howard Smagula","5474",1978,"Photoemulsion, with watercolor and gouache additions","Print",3958.2,"Pop Art"
"Color Message A","Carroll Dunham","1652",1985,"Lithograph","Print",745.8,"Postmodernismo"
"Figure in Funnel from the series Canto Inferno","Gerard Garouste","2087",1987,"Drypoint","Print",1064,"Postmodernismo"
"Dead Rooster #4","Susan Rothenberg","5044",1993,"Woodcut","Print",5280,"Postmodernismo"
"Closed Eyes (Yeux clos)","Odilon Redon","4840",1890,"Lithograph with chine appliqué","Print",1086.8,"Impresionismo"
"Drinker Caressing a Reclining Woman (Buveur caressant une femme allongée)","Pablo Picasso","4609",1938,"Etching and engraving","Print",362.08,"Surrealismo"
"The Mountain Lake","Rodolphe Bresdin","767",1840,"Etching","Print",138.99,"Romanticismo"
"Old Gables in Lüneburg (Die Giebel in Lüneburg)","Lyonel Feininger","1832",1924,"Woodcut","Print",1009.36,"Surrealismo"
"Pliers 2","Jim Dine","1547",1969,"Lithograph","Print",3298.59,"Pop Art"
"Carillon","Robert Rauschenberg","4823",1981,"Lithograph","Print",6925.77,"Postmodernismo"
"Ice Cream Cones for Three","Philip Evergood","1780",1940,"Etching","Print",1072.8,"Expresionismo Abstracto"
"Triangle and Sun from the series Canto Inferno","Gerard Garouste","2087",1987,"Drypoint","Print",1061.2,"Postmodernismo"
"Scenes from the Future: Guggenheim Museum","Komar and Melamid, Vitaly Komar, Alex Melamid","3206, 3205, 3912",1990,"Etching with drypoint","Print",4200,"Postmodernismo"
"Scenes from the Future: Museum of Modern Art","Komar and Melamid, Vitaly Komar, Alex Melamid","3206, 3205, 3912",1990,"Etching with drypoint","Print",4215,"Postmodernismo"
"Anchor","Shahzia Sikander","8197",1999,"Screenprint","Print",6311.9,"Postmodernismo"
"Departure (Le Départ)","Jacques Villon","6165",1932,"Engraving","Print",1194.97,"Surrealismo"
"Still Life with Parrot (Nature morte au perroquet)","Jacques Villon","6165",1932,"Etching and drypoint","Print",1174.1,"Surrealismo"
"The White Line","Sam Francis","1965",1960,"Lithograph","Print",5732.24,"Pop Art"
"Persian Garden","Helen Frankenthaler","1974",1965,"Lithograph","Print",3340.5,"Pop Art"
"Imagine","Joan Snyder","5501",1975,"Etching and aquatint","Print",2175.44,"Pop Art"
"The Razorback Bunch (Etching III)","Robert Rauschenberg","4823",1981,"Photoetching","Print",8863.8,"Postmodernismo"
"Wild Life","Richard Smith","5493",1985,"Aquatint and etching","Print",7248.19,"Postmodernismo"
"Landscape #2","Markus Lüpertz","3640",1998,"Etching and lithograph","Print",8568,"Postmodernismo"
"Our Image (Nuestra Imagen)","David Alfaro Siqueiros","5454",1947,"Lithograph","Print",1621.75,"Expresionismo Abstracto"
"WORK 63-6","Yukihisa Isobe","2836",1963,"Inkless intaglio","Print",2204.14,"Pop Art"
"Study for Resurrection","Joan Snyder","5501",1978,"Etching and aquatint","Print",5814.5,"Pop Art"
"Hermit","Ernst Fuchs","2021",1949,"Etching","Print",1010.1,"Expresionismo Abstracto"
"Body Parts","Donald Sultan","5726",1994,"Series of fourteen aquatints","Print",350.45,"Postmodernismo"
"Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.","Various Artists","6099",1924,"Portfolio of 16 lithographs","Print",999.18,"Surrealismo"
"La Rue d'Orchampt (Orchampt Street) from Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.","Maurice Utrillo","6046",1924,"Lithograph from a portfolio of 16 lithographs","Print",999.18,"Surrealismo"
"Mary Hamilton from Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.","Henri de Toulouse-Lautrec","5910",1894,"Lithograph from a portfolio of 16 lithographs","Print",993.72,"Impresionismo"
"The Port of Naples (Le Port de Naples) from Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.","Albert Marquet","3782",1924,"Lithograph from a portfolio of 16 lithographs","Print",985.5,"Surrealismo"
"Model in Repose (Le Repos du modèle) from Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.","Henri Matisse","3832",1922,"Lithograph from a portfolio of 16 lithographs","Print",1012.92,"Surrealismo"
"At The Circus (Au cirque) from the portfolio The Original Print (L'Estampe originale), no. I","Henri-Gabriel Ibels","2791",1893,"Lithograph, printed in color","Print",2389.6,"Impresionismo"
"Latin America","David Alfaro Siqueiros","5454",1947,"Lithograph","Print",1610.28,"Expresionismo Abstracto"
"57th Street","John Loring","3603",1972,"Screenprint","Print",6384.69,"Pop Art"
"Lewis and Clark","Steven Sorman","5533",1978,"Lithograph and screenprint, with collage additions","Print",9215,"Pop Art"
"Madama Butterfly from the portfolio Metropolitan Opera Fine Art","Larry Rivers","4945",1978,"Lithograph and screenprint","Print",4496.84,"Pop Art"
"Ezekiel (State II)","Ernst Fuchs","2021",1952,"Etching","Print",995.3,"Expresionismo Abstracto"
"Free Nelson Mandela","David Hammons","2486",1987,"Stencil on versos of torn and layered billboard papers","Print",5292.5,"Postmodernismo"
"From the ""Up in the Sky"" Photo Series (for Parkett no. 53)","Tracey Moffatt","8041",1997,"Photolithograph","Print",3420,"Postmodernismo"
"Nude Woman Crowning Herself with Flowers (Femme nue se couronnant de fleurs) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1930,"Etching","Print",694.86,"Surrealismo"
"Descent from the Cross (Kreuzabnahme) from Faces (Gesichter)","Max Beckmann","429",1918,"One from a portfolio of nineteen drypoints","Print",1665,"Cubismo"
"The Centaur of the Conquest","David Alfaro Siqueiros","5454",1944,"Lithograph","Print",2557.5,"Expresionismo Abstracto"
"WORK 63-3","Yukihisa Isobe","2836",1963,"Lithograph","Print",1893.6,"Pop Art"
"Picasso and the Theatre, poster","Pablo Picasso","4609",1965,"Linoleum cut","Print",4656.2,"Pop Art"
"Untitled from On a Clear Day","Agnes Martin","3787",1973,"One from a portfolio of 30 screenprints","Print",939.4,"Pop Art"
"Locus","Dorothea Rockburne","4972",1972,"Series of six relief etching and aquatints on folded paper","Print",7716.4,"Pop Art"
"Seated Woman with Crossed Legs (Frau mit gekreuzten Beinen sitzend)","Erich Heckel","2569",1907,"Lithograph","Print",1743.7,"Cubismo"
"Praire from the portfolio 3 Landscapes","Frank Moore","4070",1999,"Woodcut, wood engraving, and photoengraving","Print",2512.4,"Postmodernismo"
"At the Bath (Au bain) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1930,"Etching","Print",1487.2,"Surrealismo"
"The Two Goats","Marc Chagall","1055",1927,"Etching","Print",1186.86,"Surrealismo"
"WORK 62-38","Yukihisa Isobe","2836",1962,"Lithograph, embossed, printed in color","Print",2132.9,"Pop Art"
"Untitled (Fragment 4) from the series Fragments","Bridget Riley","4929",1965,"Screenprint on Plexiglas","Print",4884.32,"Pop Art"
"The Katherine Wheel","Paul Jenkins","2902",1970,"Lithograph","Print",6580,"Pop Art"
"Equinox (Équinoxe)","Joan Miró","4016",1967,"Etching, aquatint, and carborundum","Print",7697.34,"Pop Art"
"Drawing Lesson, Part I - Line","Pat Steir","5637",1978,"Portfolio of seven drypoints (including justification page, six with etching and aquatint)","Print",1664.64,"Pop Art"
"Untitled, second state","Marcel Jean","2898",1938,"Etching and aquatint","Print",648.6,"Surrealismo"
"Truisms","Jenny Holzer","2714",1978,"Photostat","Print",24780.24,"Pop Art"
"Death and the Youth (Tod und Jüngling) from the portfolio Dance of Death (Totentanz)","Lovis Corinth","1243",1921,"Etching","Print",992.02,"Surrealismo"
"Ancient Chinese Horses (for Parkett no. 52)","Malcolm Morley","4100",1998,"Lithograph","Print",6823.1,"Postmodernismo"
"Artist 2000 from the portfolio Art","Rosemarie Trockel","5933",1999,"Etching","Print",4552,"Postmodernismo"
"Nude Woman Seated Before a Curtain (Femme nue assise devant un rideau) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Etching","Print",1496,"Surrealismo"
"Forest (Wald) from the deluxe periodical Münchner Blätter für Dichtung und Graphikvol. 1, no. 9","Paul Klee","3130",1919,"Lithograph","Print",646.95,"Cubismo"
"WHAT MAN'S MIND CAN CREATE, MAN'S CHARACTER CAN CONTROL","Ben Sakoguchi","5119",1965,"Etching and aquatint, printed in black","Print",6618.68,"Pop Art"
"Open on Two Whites","Robert Motherwell","4126",1971,"Lithograph","Print",9812.95,"Pop Art"
"For a Sensational Project (Pour un projet sensationnel)","Jacques Villon","6165",1904,"Drypoint","Print",1472.72,"Impresionismo"
"Untitled, sixth state","Marcel Jean","2898",1938,"Etching and aquatint","Print",806.4,"Surrealismo"
"Death and the Woman (Tod und Weib) from the portfolio Dance of Death (Totentanz)","Lovis Corinth","1243",1921,"Etching","Print",984.31,"Surrealismo"
"Cracking Cup","Elizabeth Murray","4185",1998,"Lithograph on cut and raised paper","Print",8817.3,"Postmodernismo"
"Etching for Circle of Friends of the Bauhaus (Radierung für den Kreis der Freunde des Bauhauses)","Vasily Kandinsky","2981",1932,"Drypoint","Print",1353.79,"Surrealismo"
"Man Unveiling a Woman (Homme dévoilant une femme) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Drypoint","Print",1478.4,"Surrealismo"
"CHAIR","André Minaux","4000",1950,"Lithograph, printed in black","Print",1499.41,"Expresionismo Abstracto"
"GREAT LANDSCAPE, TERSCHELLING","Ap Sok","5509",1949,"Etching, printed in black","Print",550.08,"Expresionismo Abstracto"
"Buffoonery (Narretei)","Paul Klee","3130",1922,"Lithograph","Print",667,"Surrealismo"
"Face Lunar","Omar Rayo","4831",1961,"Embossing, with black oil pigment and graphite additions
","Print",561.69,"Pop Art"
"Big Coke","Don Nice","4290",1972,"Lithograph","Print",6341.72,"Pop Art"
"Now Here's That Blame Treaty","William T. Wiley","6370",1983,"Etching, aquatint and drypoint","Print",14031.05,"Postmodernismo"
"Plate 1 from the series Man, Standing up from a Chair (Mann, aufstehend aus dem Stuhl)","Matthias Mansen","3738",1988,"One from a series of five woodcuts","Print",14654.4,"Postmodernismo"
"Man, Standing up from a Chair (Mann, aufstehend aus dem Stuhl)","Matthias Mansen","3738",1988,"Series of five woodcuts","Print",14654.4,"Postmodernismo"
"Plate 4 from the series Man, Standing up from a Chair (Mann, aufstehend aus dem Stuhl)","Matthias Mansen","3738",1988,"One from a series of five woodcuts","Print",14675.7,"Postmodernismo"
"Plate 5 from the series Man, Standing up from a Chair (Mann, aufstehend aus dem Stuhl)","Matthias Mansen","3738",1988,"One from a series of five woodcuts","Print",14611.8,"Postmodernismo"
"Death and the Strucks (Death and Couple) [Tod bei Strucks (Tod und Paar)] from the portfolio Dance of Death (Totentanz)","Lovis Corinth","1243",1921,"Etching","Print",972.82,"Surrealismo"
"Oscar and Bosie (for Parkett no. 53)","Elizabeth Peyton","8042",1998,"Lithograph with pearlescent dust additions","Print",3596,"Postmodernismo"
"Flip from Exit 99","Richard Tuttle","5983",1999,"Screenprint, die cutting, and wool","Print",4233.2,"Postmodernismo"
"Nude Woman Before a Statue (Femme nue devant une statue) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Etching","Print",1491.6,"Surrealismo"
"Portrait of Andreas Schwarz","Edvard Munch","4164",1906,"Drypoint","Print",822.96,"Cubismo"
"FRIESLAND IV","Ap Sok","5509",1950,"Etching, printed in black","Print",826.88,"Expresionismo Abstracto"
"Tragedy on Stilts (Tragödie auf Stelzen)","Paul Klee","3130",1912,"Lithograph","Print",363.4,"Cubismo"
"Invitation to Paradise (Invitation au paradis)","Edgard Tytgat","5994",1925,"Woodcut","Print",1429.92,"Surrealismo"
"Bodegón I (Still Life I)","Omar Rayo","4831",1961,"Embossing","Print",1309.28,"Pop Art"
"Souvenir","Jasper Johns","2923",1970,"Lithograph","Print",4416.93,"Pop Art"
"And to That Posterity I Will Grant Increase, Till it Lies Like Dust on the Ground...,","Roman Opalka","4413",1970,"Relief print","Print",4610.1,"Pop Art"
"Naked Brunch","Jerry Kearns","3035",1985,"Lithograph","Print",4891,"Postmodernismo"
"Birds of Montroig V (Ocells de Montroig V)","Joan Miró","4016",1982,"Etching","Print",4362.4,"Postmodernismo"
"Touching Two Sides","Carroll Dunham","1652",1989,"Drypoint","Print",3437.4,"Postmodernismo"
"The Fly Eater","Arnulf Rainer","4792",1966,"Lithograph","Print",6850.8,"Pop Art"
"Camouflage","Andy Warhol","6246",1987,"Portfolio of eight screenprints","Print",9312.25,"Postmodernismo"
"At the Window (Am Fenster)","Paul Klee","3130",1912,"Lithograph","Print",797.04,"Cubismo"
"Two Sculptors before a Statue (Deux sculpteurs devant une statue) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Etching","Print",1478.4,"Surrealismo"
"PROVENCE (LA PROVENCE ECALIÈRRE)","Ap Sok","5509",1951,"Etching, printed in black","Print",611.01,"Expresionismo Abstracto"
"Living Flame","Alfred Manessier","3720",1954,"Lithograph","Print",3260,"Expresionismo Abstracto"
"Metal Structure No. 2","Omar Rayo","4831",1943,"Embossed print, rubbed with ink","Print",2857.5,"Expresionismo Abstracto"
"Target II","Jasper Johns","2923",1969,"Etching and aquatint","Print",562.56,"Pop Art"
"Mountain Ridge","Linda Plotkin","4654",1970,"Etching and aquatint","Print",4243.1,"Pop Art"
"Untitled from the Rubber Stamp Portfolio","Carl Andre","174",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Bear with Predella from the Rubber Stamp Portfolio","Don Nice","4290",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Shiny Nude from the Rubber Stamp Portfolio","Tom Wesselmann","6318",1977,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"The Relocation of Property by Natural Forces from the Rubber Stamp Portfolio","Joe Zucker","6588",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"1000 Placements from the Rubber Stamp Portfolio","Daniel Buren","873",1977,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Phil from the Rubber Stamp Portfolio","Chuck Close","1156",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Installation Floor Plan for Any Space Surrounded by Four Walls from the Rubber Stamp Portfolio","Barry Le Va","3435",1976,"One from a portfolio of thirteen rubber stamps","Print",406,"Pop Art"
"Lines in Four Directions from the Rubber Stamp Portfolio","Sol LeWitt","3528",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"A Square with Four Squares Cut Away from the Rubber Stamp Portfolio","Robert Mangold","3723",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Six Inches Four Ways from the Rubber Stamp Portfolio","Sylvia Plimack Mangold","3724",1976,"One from a portfolio of thirteen rubber stamps","Print",412.09,"Pop Art"
"Praise from the Rubber Stamp Portfolio","Agnes Martin","3787",1976,"One from a portfolio of thirteen rubber stamps","Print",784,"Pop Art"
"Talking Heads","Jerry Kearns","3035",1985,"Lithograph","Print",5554.3,"Postmodernismo"
"Paris, July 14, 1942, state V","Pablo Picasso","4609",1945,"Etching and engraving","Print",4278.4,"Expresionismo Abstracto"
"Eros Tétanos","Philippe Favier","1816",1989,"Drypoint","Print",1086.8,"Postmodernismo"
"SUITES, no. 8","David Hockney, René Bertholo, Bernard Rancillac, Horst Antes, Bernhard Luginbühl, Various Artists","2678, 527, 7846, 194, 6976, 24409",1964,"Portfolio of 6 lithographs","Print",1561.6,"Pop Art"
"Der Held mit dem Flügel (The Hero with the Wing) from the series Inventions (Inventionen)","Paul Klee","3130",1905,"Etching and drypoint","Print",1249.49,"Cubismo"
"Nude Woman with Bent Leg (Femme nue à la jambe pliée) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Etching","Print",1478.4,"Surrealismo"
"Breton Women (Bretonnes)","Armand Séguin","5320",1894,"Woodcut","Print",572.88,"Impresionismo"
"THE PEOPLE OF THE ABYSS from the portfolio IN OUR TIME COVERS FOR A SMALL LIBRARY AFTER THE LIFE FOR THE MOST PART","R. B. Kitaj","3121",1969,"One from a portfolio of fifty screenprints, some with collage additions","Print",4518.25,"Pop Art"
"Flocked Horizontal","Judith Bernstein","519",1976,"Screenprint with flocking","Print",4272.8,"Pop Art"
"Adapted","Josef Albers","97",1944,"Woodcut","Print",1291.08,"Expresionismo Abstracto"
"Cologne Beggars I-IV (Kölner Bettler I-IV)","Sigmar Polke","4671",1972,"Series of four photolithographs","Print",2553.6,"Pop Art"
"Little Castle in the Air (Luftschlösschen)","Paul Klee","3130",1915,"Etching","Print",777.6,"Cubismo"
"The Rape (Le Viol) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Etching","Print",1530,"Surrealismo"
"The Museum","Saul Steinberg","5627",1972,"Lithograph and embossing","Print",3762.78,"Pop Art"
"Horizontal","Judith Bernstein","519",1976,"Lithograph","Print",4371.9,"Pop Art"
"Diptic","Josef Albers","97",1934,"Woodcut","Print",1166.4,"Surrealismo"
"TV Picture (Soccer Player) I (Fernsehbild (Kicker) I)","Sigmar Polke","4671",1971,"Photolithograph","Print",5331.2,"Pop Art"
"Parrot Picture (Papageienbild) from the portfolio 5 Prints by 5 Sculptors","Katharina Fritsch","2016",1980,"Photolithograph, offset printed, and screenprint","Print",2700,"Postmodernismo"
"Queen of Hearts (Herzdame) from the periodical Der Ararat. Glossen, Skizzen und Notizen zur Neuen Kunst vol. 2, no. 4 (April 1921)","Paul Klee","3130",1921,"Lithograph","Print",635.1,"Surrealismo"
"Two Women at Rest (Deux femmes se reposant) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1931,"Drypoint","Print",1458.6,"Surrealismo"
"Title page from the portfolio Love (Amour)","Maurice Denis","1492",1899,"Lithograph","Print",2700,"Impresionismo"
"The Gust of Wind","Félix Vallotton","6064",1894,"Woodcut","Print",802.75,"Impresionismo"
"French Curve","Marisol (Marisol Escobar)","3774",1970,"Etching","Print",3160.52,"Pop Art"
"In the Fifth Season","Gregory Amenoff","145",1983,"Woodcut","Print",9779.85,"Postmodernismo"
"Railroad Station (Bahnhof)","Paul Klee","3130",1911,"Drypoint","Print",1186.1,"Cubismo"
"Flutist and Three Nude Women (Flûtiste et trois femmes nues) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1932,"Drypoint","Print",1523.2,"Surrealismo"
"A Tight Corner","Félix Vallotton","6064",1893,"Woodcut","Print",812.5,"Impresionismo"
"Head of a Girl with Spanish Comb","Niles Spencer","5561",1922,"Lithograph","Print",590.1,"Surrealismo"
"Articulation","Georges Noël","4320",1970,"Screenprint","Print",2556.63,"Pop Art"
"Telephone (Telefon)","Gerhard Richter, Blinky Palermo","4907, 4474",1971,"Screenprint and offset lithograph","Print",2904,"Pop Art"
"Composition in Blue","Hans Hofmann","2698",1952,"Screenprint, with gouache additions","Print",2204.8,"Expresionismo Abstracto"
"Rembrandt Holding the Hand of a Young Woman with Veil (Rembrandt tenant par la main une jeune femme au voile) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1933,"Etching","Print",1482.8,"Surrealismo"
"AUX ENFANTS","Abraham P. Hankins","2488",1947,"Serigraph in color","Print",268.96,"Expresionismo Abstracto"
"The Plain Between Cannes and Mougins (La Plaine entre cannes et mougins)","Jacques Villon","6165",1934,"Etching","Print",642.6,"Surrealismo"
"Figurine Cup V Figurine Cup V from the Figurine Cup Series","Ken Price","4734",1970,"Photolithograph","Print",2560.22,"Pop Art"
"Asian Woman, Pregnant and Grieving","Jim Dine","1547",1976,"Soft ground etching with watercolor and charcoal additions","Print",7951.24,"Pop Art"
"By Any Means Necessary","K.O.S. (Kids of Survival), Tim Rollins","5005, 19238",1985,"Screenprint","Print",1683.3,"Postmodernismo"
"Parkett Edition, 1992-98 (for Parkett no. 53)","Wolfgang Tillmans","8044",1998,"Chromogenic print","Print",1216,"Postmodernismo"
"Sculptors, Models and Sculpture (Sculpteurs, modèles et sculpture) from the Vollard Suite (Suite Vollard)","Pablo Picasso","4609",1933,"Etching","Print",1509.6,"Surrealismo"
